seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	762617	762898	282	*	X0001	643837	762971	794826	31856	+	72	upstream	72	LINC01128
chr1	762617	762898	282	*	X0001	79854	761586	762902	1317	-	0	inside	3	LINC00115
chr1	1243682	1243805	124	*	X0003	126789	1243994	1247057	3064	+	188	upstream	188	PUSL1
chr1	1244024	1244151	128	*	X0004	126789	1243994	1247057	3064	+	0	inside	29	PUSL1
chr1	1310485	1311003	519	*	X0005	54998	1309110	1310818	1709	-	0	overlapStart	0	AURKAIP1
chr1	1342517	1342817	301	*	X0006	55052	1337276	1342693	5418	-	0	overlapStart	0	MRPL20
chr1	1510273	1510398	126	*	X0007	29101	1477053	1510262	33210	-	10	upstream	10	SSU72
chr1	1655747	1655857	111	*	X0011	728642	1634170	1655791	21622	-	0	overlapStart	0	CDK11A
chr1	1655747	1655857	111	*	X0011	984	1571100	1655775	84676	-	0	overlapStart	0	CDK11B
chr1	1655889	1655926	38	*	X0012	728642	1634170	1655791	21622	-	97	upstream	97	CDK11A
chr1	1655889	1655926	38	*	X0012	984	1571100	1655775	84676	-	113	upstream	113	CDK11B
chr1	1656077	1656135	59	*	X0013	728642	1634170	1655791	21622	-	285	upstream	285	CDK11A
chr1	1656077	1656135	59	*	X0013	984	1571100	1655775	84676	-	301	upstream	301	CDK11B
chr1	1677515	1677757	243	*	X0014	728661	1590988	1677438	86451	-	76	upstream	76	SLC35E2B
chr1	1677515	1677757	243	*	X0014	9906	1656277	1677438	21162	-	76	upstream	76	SLC35E2A
chr1	3712990	3713250	261	*	X0017	57470	3696784	3713068	16285	-	0	overlapStart	0	LRRC47
chr1	3816677	3816812	136	*	X0018	100133612	3816968	3833879	16912	+	155	upstream	155	LINC01134
chr1	3816677	3816812	136	*	X0018	339448	3805697	3816857	11161	-	0	inside	44	C1orf174
chr1	3817362	3817396	35	*	X0019	339448	3805697	3816857	11161	-	504	upstream	504	C1orf174
chr1	3817414	3817428	15	*	X0020	339448	3805697	3816857	11161	-	556	upstream	556	C1orf174
chr1	6259485	6259623	139	*	X0021	6146	6245080	6259679	14600	-	0	inside	55	RPL22
chr1	6259754	6259930	177	*	X0022	6146	6245080	6259679	14600	-	74	upstream	74	RPL22
chr1	6259956	6259973	18	*	X0023	6146	6245080	6259679	14600	-	276	upstream	276	RPL22
chr1	6259986	6259999	14	*	X0024	6146	6245080	6259679	14600	-	306	upstream	306	RPL22
chr1	6761760	6761967	208	*	X0028	55735	6694228	6761966	67739	-	0	overlapStart	0	DNAJC11
chr1	8021376	8021386	11	*	X0029	11315	8021714	8045342	23629	+	327	upstream	327	PARK7
chr1	8021413	8021496	84	*	X0030	11315	8021714	8045342	23629	+	217	upstream	217	PARK7
chr1	8021609	8021846	238	*	X0031	11315	8021714	8045342	23629	+	0	overlapStart	0	PARK7
chr1	8022013	8022092	80	*	X0032	11315	8021714	8045342	23629	+	0	inside	298	PARK7
chr1	8877604	8877720	117	*	X0036	473	8412464	8877699	465236	-	0	overlapStart	0	RERE
chr1	8938312	8938439	128	*	X0037	100505975	8938894	8939943	1050	+	454	upstream	454	ENO1-AS1
chr1	8938567	8938648	82	*	X0038	100505975	8938894	8939943	1050	+	245	upstream	245	ENO1-AS1
chr1	8938735	8938766	32	*	X0039	100505975	8938894	8939943	1050	+	127	upstream	127	ENO1-AS1
chr1	10003197	10003404	208	*	X0041	64802	10003486	10045556	42071	+	81	upstream	81	NMNAT1
chr1	10003197	10003404	208	*	X0041	84328	9989776	10003427	13652	-	0	inside	22	LZIC
chr1	10003476	10003673	198	*	X0042	64802	10003486	10045556	42071	+	0	overlapStart	0	NMNAT1
chr1	10003476	10003673	198	*	X0042	84328	9989776	10003427	13652	-	48	upstream	48	LZIC
chr1	10458717	10458928	212	*	X0043	5226	10459085	10480201	21117	+	156	upstream	156	PGD
chr1	10459120	10459216	97	*	X0044	5226	10459085	10480201	21117	+	0	inside	34	PGD
chr1	10532482	10532499	18	*	X0046	1676	10520603	10532613	12011	-	0	inside	113	DFFA
chr1	10532513	10532523	11	*	X0047	1676	10520603	10532613	12011	-	0	inside	89	DFFA
chr1	10534885	10535084	200	*	X0048	5195	10535003	10690815	155813	+	0	overlapStart	0	PEX14
chr1	11072454	11072512	59	*	X0049	23435	11072679	11085549	12871	+	166	upstream	166	TARDBP
chr1	11072615	11072842	228	*	X0050	23435	11072679	11085549	12871	+	0	overlapStart	0	TARDBP
chr1	11159788	11159969	182	*	X0051	5394	11126676	11159938	33263	-	0	overlapStart	0	EXOSC10
chr1	11322871	11323036	166	*	X0052	2475	11166588	11322608	156021	-	262	upstream	262	MTOR
chr1	11333277	11333517	241	*	X0053	29914	11333255	11348491	15237	+	0	inside	21	UBIAD1
chr1	15853084	15853521	438	*	X0061	23341	15853352	15918874	65523	+	0	overlapStart	0	DNAJC16
chr1	15853084	15853521	438	*	X0061	842	15817324	15851285	33962	-	1798	upstream	1798	CASP9
chr1	16174024	16174106	83	*	X0064	23013	16174359	16266950	92592	+	252	upstream	252	SPEN
chr1	16482469	16482508	40	*	X0065	1969	16450832	16482582	31751	-	0	inside	73	EPHA2
chr1	16678781	16678909	129	*	X0066	54455	16576559	16678948	102390	-	0	inside	38	FBXO42
chr1	16679081	16679185	105	*	X0067	54455	16576559	16678948	102390	-	132	upstream	132	FBXO42
chr1	16693485	16693552	68	*	X0068	26099	16693525	16724643	31119	+	0	overlapStart	0	SZRD1
chr1	16693791	16693810	20	*	X0069	26099	16693525	16724643	31119	+	0	inside	265	SZRD1
chr1	16767052	16767053	2	*	X0070	55707	16767167	16786584	19418	+	113	upstream	113	NECAP2
chr1	16767180	16767300	121	*	X0071	55707	16767167	16786584	19418	+	0	inside	12	NECAP2
